ID	naam image	Genus	species (& subtaxa)	O(rchid. Cat.) nr.	land van herkomst	locatie	cultuur	veldcollectie	bijzonderheden	dag/maand	jaar	foto gemaakt door	afgebeeld	overige bijzonderheden; (belangrijke) synoniemen
4120		Aspasia	variegata Lindl.	"4118, 4119, 4120"	[Brazilië; Rondônia]		Botanische Tuinen Universiteit Utrecht 00ZW10814 ['86]	[P.J.M. & H. Maas 396]		2-Jan	1974	L.Y.Th. Westra & A. Kuiper	"hab1, 2x det1"
2794		Masdevallia	caesia Roezl	"2790, 2791, 2792, 2793, 2794, 2795"	[Colombia]		"J.M. Wubben, Hollandsche Rading"			26/02	1972	L.Y.Th. Westra	"hab1, 3x det1, 2x ddet1"	Masdevallia deorsa Rolfe
2795		Masdevallia	caesia Roezl	"2790, 2791, 2792, 2793, 2794, 2795"	[Colombia]		"J.M. Wubben, Hollandsche Rading"			26/02	1972	L.Y.Th. Westra	"hab1, 3x det1, 2x ddet1"	Masdevallia deorsa Rolfe
1676		Masdevallia	calura Rchb.f.	"1676, 1677, 1678, 1679, 1680"			Cantonspark Baarn 10502			30/01	1970	L.Y.Th. Westra	"hab1, 2x det2, 2x ddet1"
1677		Masdevallia	calura Rchb.f.	"1676, 1677, 1678, 1679, 1680"			Cantonspark Baarn 10502			30/01	1970	L.Y.Th. Westra	"hab1, 2x det2, 2x ddet1"
1678		Masdevallia	calura Rchb.f.	"1676, 1677, 1678, 1679, 1680"			Cantonspark Baarn 10502			30/01	1970	L.Y.Th. Westra	"hab1, 2x det2, 2x ddet1"
1679		Masdevallia	calura Rchb.f.	"1676, 1677, 1678, 1679, 1680"			Cantonspark Baarn 10502			30/01	1970	L.Y.Th. Westra	"hab1, 2x det2, 2x ddet1"
1680		Masdevallia	calura Rchb.f.	"1676, 1677, 1678, 1679, 1680"			Cantonspark Baarn 10502			30/01	1970	L.Y.Th. Westra	"hab1, 2x det2, 2x ddet1"
8441		Masdevallia	caudata Lindl.	"8441, 8442, 8443, 8444"			"J.M. Wubben, Hollandsche Rading"			3-Jul	1981	L.Y.Th. Westra	"hab1, 2x det1, ddet1"
8442		Masdevallia	caudata Lindl.	"8441, 8442, 8443, 8444"			"J.M. Wubben, Hollandsche Rading"			3-Jul	1981	L.Y.Th. Westra	"hab1, 2x det1, ddet1"
1220		Masdevallia	chontalensis Rchb.f.	"1220, 1221"			Cantonspark Baarn 10064			6-Jan	1968	L.Y.Th. Westra	"hab1, det1"
1221		Masdevallia	chontalensis Rchb.f.	"1220, 1221"			Cantonspark Baarn 10064			6-Jan	1968	L.Y.Th. Westra	"hab1, det1"
3020		Masdevallia	coccinea Linden ex Lindl.	"3020, 3021, 3022, 3023"			Cantonspark Baarn 10727			24/05	1972	L.Y.Th. Westra & A. Kuiper	"hab1, 2x det1, ddet1"
3021		Masdevallia	coccinea Linden ex Lindl.	"3020, 3021, 3022, 3023"			Cantonspark Baarn 10727			24/05	1972	L.Y.Th. Westra & A. Kuiper	"hab1, 2x det1, ddet1"
3022		Masdevallia	coccinea Linden ex Lindl.	"3020, 3021, 3022, 3023"			Cantonspark Baarn 10727			24/05	1972	L.Y.Th. Westra & A. Kuiper	"hab1, 2x det1, ddet1"
3023		Masdevallia	coccinea Linden ex Lindl.	"3020, 3021, 3022, 3023"			Cantonspark Baarn 10727			24/05	1972	L.Y.Th. Westra & A. Kuiper	"hab1, 2x det1, ddet1"
1973		Masdevallia	coccinea Linden ex Lindl. var. harryana (Rchb.f.) Veitch	"1973, 1974, 1975"			"J.M. Wubben, Hollandsche Rading"			8-Apr	1970	L.Y.Th. Westra	"hab1, 2x det1"
1974		Masdevallia	coccinea Linden ex Lindl. var. harryana (Rchb.f.) Veitch	"1973, 1974, 1975"			"J.M. Wubben, Hollandsche Rading"			8-Apr	1970	L.Y.Th. Westra	"hab1, 2x det1"
1975		Masdevallia	coccinea Linden ex Lindl. var. harryana (Rchb.f.) Veitch	"1973, 1974, 1975"			"J.M. Wubben, Hollandsche Rading"			8-Apr	1970	L.Y.Th. Westra	"hab1, 2x det1"
7919		Masdevallia	colossus Luer	"7919, 7920, 7921, 7922, 7923"			"J.M. Wubben, Hollandsche Rading"			4-Dec	1980	L.Y.Th. Westra	"hab1, 2x det1, 2x ddet1"
7921		Masdevallia	colossus Luer	"7919, 7920, 7921, 7922, 7923"			"J.M. Wubben, Hollandsche Rading"			4-Dec	1980	L.Y.Th. Westra	"hab1, 2x det1, 2x ddet1"
3147		Masdevallia	coriacea Lindl.	"3147, 3149, 3149, 3150"			Botanische Tuinen Universiteit Utrecht 00ZW10567			27/07	1972	L.Y.Th. Westra	"hab1, 3x det1"
3149		Masdevallia	coriacea Lindl.	"3147, 3149, 3149, 3150"			Botanische Tuinen Universiteit Utrecht 00ZW10567			27/07	1972	L.Y.Th. Westra	"hab1, 3x det1"
3149		Masdevallia	coriacea Lindl.	"3147, 3149, 3149, 3150"			Botanische Tuinen Universiteit Utrecht 00ZW10567			27/07	1972	L.Y.Th. Westra	"hab1, 3x det1"
3150		Masdevallia	coriacea Lindl.	"3147, 3149, 3149, 3150"			Botanische Tuinen Universiteit Utrecht 00ZW10567			27/07	1972	L.Y.Th. Westra	"hab1, 3x det1"
7037		Masdevallia	coriacea Lindl.	"7037, 7038, 7039, 7040"			"Chr. Branger, Lunteren"			7-Sep	1978	L.Y.Th. Westra	"hab1, 3x det1"
7038		Masdevallia	coriacea Lindl.	"7037, 7038, 7039, 7040"			"Chr. Branger, Lunteren"			7-Sep	1978	L.Y.Th. Westra	"hab1, 3x det1"
7040		Masdevallia	coriacea Lindl.	"7037, 7038, 7039, 7040"			"Chr. Branger, Lunteren"			7-Sep	1978	L.Y.Th. Westra	"hab1, 3x det1"
9035		Masdevallia	davisii Rchb.f.	"9035, 9036, 9037, 9038, 9039"			"J.M. Wubben, Hollandsche Rading"			20/03	1982	L.Y.Th. Westra	"hab1, 2x det1, 2x ddet1"
9036		Masdevallia	davisii Rchb.f.	"9035, 9036, 9037, 9038, 9039"			"J.M. Wubben, Hollandsche Rading"			20/03	1982	L.Y.Th. Westra	"hab1, 2x det1, 2x ddet1"
9037		Masdevallia	davisii Rchb.f.	"9035, 9036, 9037, 9038, 9039"			"J.M. Wubben, Hollandsche Rading"			20/03	1982	L.Y.Th. Westra	"hab1, 2x det1, 2x ddet1"
7959		Masdevallia	echo Luer	"7959, 7960, 7961, 7962"			"J.M. Wubben, Hollandsche Rading"			26/04	1980	L.Y.Th. Westra	"hab1, 2x det1, ddet1"
7960		Masdevallia	echo Luer	"7959, 7960, 7961, 7962"			"J.M. Wubben, Hollandsche Rading"			26/04	1980	L.Y.Th. Westra	"hab1, 2x det1, ddet1"
4062		Masdevallia	floribunda Lindl.	"4062, 4063, 4064"			Botanische Tuinen Universiteit Utrecht 00ZW11012			31/10	1973	L.Y.Th. Westra & A. Kuiper	"hab1, 2x det1"
4063		Masdevallia	floribunda Lindl.	"4062, 4063, 4064"			Botanische Tuinen Universiteit Utrecht 00ZW11012			31/10	1973	L.Y.Th. Westra & A. Kuiper	"hab1, 2x det1"
8899		Masdevallia	guttulata Rchb.f.	"8899, 8900, 8901, 8902"			"J.M. Wubben, Hollandsche Rading"			10-Oct	1981	L.Y.Th. Westra	"hab1, 2x det1, ddet1"
8900		Masdevallia	guttulata Rchb.f.	"8899, 8900, 8901, 8902"			"J.M. Wubben, Hollandsche Rading"			10-Oct	1981	L.Y.Th. Westra	"hab1, 2x det1, ddet1"
8244		Masdevallia	herradurae F.Lehm. & Kraenzl.	"8243, 8244, 8245, 8246"			"J.M. Wubben, Hollandsche Rading"			10-Nov	1980	L.Y.Th. Westra	"hab1, 2x det1, ddet1"
8246		Masdevallia	herradurae F.Lehm. & Kraenzl.	"8243, 8244, 8245, 8246"			"J.M. Wubben, Hollandsche Rading"			10-Nov	1980	L.Y.Th. Westra	"hab1, 2x det1, ddet1"
9404		Masdevallia	kuhniorum Luer	"9403, 9404, 9405, 9406"			"J.M. Wubben, Hollandsche Rading"			23/04	1983	L.Y.Th. Westra	"hab1, 2x det1, ddet1"
9406		Masdevallia	kuhniorum Luer	"9403, 9404, 9405, 9406"			"J.M. Wubben, Hollandsche Rading"			23/04	1983	L.Y.Th. Westra	"hab1, 2x det1, ddet1"
6452		Masdevallia	kyphonantha H.R.Sweet  cf.	"6452, 6453, 6454"			"J.M. Wubben, Hollandsche Rading"			27/08	1977	L.Y.Th. Westra	"hab1, 2x det1"
6453		Masdevallia	kyphonantha H.R.Sweet  cf.	"6452, 6453, 6454"			"J.M. Wubben, Hollandsche Rading"			27/08	1977	L.Y.Th. Westra	"hab1, 2x det1"
6454		Masdevallia	kyphonantha H.R.Sweet  cf.	"6452, 6453, 6454"			"J.M. Wubben, Hollandsche Rading"			27/08	1977	L.Y.Th. Westra	"hab1, 2x det1"
3665		Masdevallia	lansbergii Rchb.f.	"3665, 3666, 3667"			"J.M. Wubben, Hollandsche Rading"			28/04	1973	L.Y.Th. Westra	"hab1, 2x det1"
3666		Masdevallia	lansbergii Rchb.f.	"3665, 3666, 3667"			"J.M. Wubben, Hollandsche Rading"			28/04	1973	L.Y.Th. Westra	"hab1, 2x det1"
3667		Masdevallia	lansbergii Rchb.f.	"3665, 3666, 3667"			"J.M. Wubben, Hollandsche Rading"			28/04	1973	L.Y.Th. Westra	"hab1, 2x det1"
7452		Masdevallia	macrura	"7450, 7451, 7452, 7453"	Nederland; Utrecht	Baarn; Cantonspark	"Chr. Branger, Lunteren"		Orchideeëntentoonstelling van de Kon. Ned. Orchideeënvereniging in de Wintertuin op 12-17/04 1979	4-Dec	1979	L.Y.Th. Westra	" hab1, 2x det1, ddet1"	niet geverifieerd
7543		Masdevallia	maculata Klotzsch & H.Karst.	"7543, 7544, 7545, 7546"	[Venezuela; Aragua]	[Colonia Tovar]	"J.M. Wubben, Hollandsche Rading"			19/05	1979	L.Y.Th. Westra	"hab1, 2x det1, ddet1"
7544		Masdevallia	maculata Klotzsch & H.Karst.	"7543, 7544, 7545, 7546"	[Venezuela; Aragua]	[Colonia Tovar]	"J.M. Wubben, Hollandsche Rading"			19/05	1979	L.Y.Th. Westra	"hab1, 2x det1, ddet1"
6714		Masdevallia	mejiana Garay	"6714, 6715, 6716, 6717"	[Colombia]		"W. Ballizani, Naarden"			2-Apr	1978	L.Y.Th. Westra	"hab1, 2x det1, ddet1"
6715		Masdevallia	mejiana Garay	"6714, 6715, 6716, 6717"	[Colombia]		"W. Ballizani, Naarden"			2-Apr	1978	L.Y.Th. Westra	"hab1, 2x det1, ddet1"
6716		Masdevallia	mejiana Garay	"6714, 6715, 6716, 6717"	[Colombia]		"W. Ballizani, Naarden"			2-Apr	1978	L.Y.Th. Westra	"hab1, 2x det1, ddet1"
3677		Masdevallia	melanoxantha Linden & Rchb.f.	"3677, 3678, 3679, 3680"			Botanische Tuinen Universiteit Utrecht 00ZW11018			5-Jul	1973	L.Y.Th. Westra & A. Kuiper	"hab1, 2x det1, ddet1"
3679		Masdevallia	melanoxantha Linden & Rchb.f.	"3677, 3678, 3679, 3680"			Botanische Tuinen Universiteit Utrecht 00ZW11018			5-Jul	1973	L.Y.Th. Westra & A. Kuiper	"hab1, 2x det1, ddet1"
3680		Masdevallia	melanoxantha Linden & Rchb.f.	"3677, 3678, 3679, 3680"			Botanische Tuinen Universiteit Utrecht 00ZW11018			5-Jul	1973	L.Y.Th. Westra & A. Kuiper	"hab1, 2x det1, ddet1"
8490		Masdevallia	melanoxantha Linden & Rchb.f.	"8490, 8491, 8492, 8493, 8494"	[Venezuela]	[La Fundaci¢n]	"J.M. Wubben, Hollandsche Rading"	"[J.M. Wubben, 11"		4-Nov	1980] 1981	L.Y.Th. Westra	"hab1, 2x det1, 2x ddet1"
8491		Masdevallia	melanoxantha Linden & Rchb.f.	"8490, 8491, 8492, 8493, 8494"	[Venezuela]	[La Fundaci¢n]	"J.M. Wubben, Hollandsche Rading"	"[J.M. Wubben, 11"		4-Nov	1980] 1981	L.Y.Th. Westra	"hab1, 2x det1, 2x ddet1"
1847		Masdevallia	militaris Rchb.f.	"1847, 1849, 1849; 3607, 3608, 3609, 3610"			"J.M. Wubben, Hollandsche Rading"			04/06; 18/03	1970; 1973	L.Y.Th. Westra	"hab1, 2x det1; hab1, 2x det1, ddet1"
1849		Masdevallia	militaris Rchb.f.	"1847, 1849, 1849; 3607, 3608, 3609, 3610"			"J.M. Wubben, Hollandsche Rading"			04/06; 18/03	1970; 1973	L.Y.Th. Westra	"hab1, 2x det1; hab1, 2x det1, ddet1"
1849		Masdevallia	militaris Rchb.f.	"1847, 1849, 1849; 3607, 3608, 3609, 3610"			"J.M. Wubben, Hollandsche Rading"			04/06; 18/03	1970; 1973	L.Y.Th. Westra	"hab1, 2x det1; hab1, 2x det1, ddet1"
2767		Masdevallia	minuta Lindl.	"2767, 2768, 2769, 2770"			"J.M. Wubben, Hollandsche Rading"			2-Dec	1972	L.Y.Th. Westra	"hab1, 3x det1"
2768		Masdevallia	minuta Lindl.	"2767, 2768, 2769, 2770"			"J.M. Wubben, Hollandsche Rading"			2-Dec	1972	L.Y.Th. Westra	"hab1, 3x det1"
2769		Masdevallia	minuta Lindl.	"2767, 2768, 2769, 2770"			"J.M. Wubben, Hollandsche Rading"			2-Dec	1972	L.Y.Th. Westra	"hab1, 3x det1"
2770		Masdevallia	minuta Lindl.	"2767, 2768, 2769, 2770"			"J.M. Wubben, Hollandsche Rading"			2-Dec	1972	L.Y.Th. Westra	"hab1, 3x det1"
4937		Masdevallia	nidifica Rchb.f.	"4937, 4938, 4939, 4940"	[Ecuador]		"J.M. Wubben, Hollandsche Rading"			5-Oct	1975	L.Y.Th. Westra	"hab1, 2x det1, ddet1"
4938		Masdevallia	nidifica Rchb.f.	"4937, 4938, 4939, 4940"	[Ecuador]		"J.M. Wubben, Hollandsche Rading"			5-Oct	1975	L.Y.Th. Westra	"hab1, 2x det1, ddet1"
4940		Masdevallia	nidifica Rchb.f.	"4937, 4938, 4939, 4940"	[Ecuador]		"J.M. Wubben, Hollandsche Rading"			5-Oct	1975	L.Y.Th. Westra	"hab1, 2x det1, ddet1"
6159		Masdevallia	nidifica Rchb.f.	"6159, 6160, 6161, 6162"			"J.M. Wubben, Hollandsche Rading"			23/04	1977	L.Y.Th. Westra	"hab1, 2x det1, ddet1"
6161		Masdevallia	nidifica Rchb.f.	"6159, 6160, 6161, 6162"			"J.M. Wubben, Hollandsche Rading"			23/04	1977	L.Y.Th. Westra	"hab1, 2x det1, ddet1"
2864		Masdevallia	pachyantha Rchb.f. (vel valde aff.)	"2864, 2865, 2866, 2867, 2868"			"J.M. Wubben, Hollandsche Rading"			4-Apr	1972	L.Y.Th. Westra	"hab1, 2x det1, 2x ddet1"
2865		Masdevallia	pachyantha Rchb.f. (vel valde aff.)	"2864, 2865, 2866, 2867, 2868"			"J.M. Wubben, Hollandsche Rading"			4-Apr	1972	L.Y.Th. Westra	"hab1, 2x det1, 2x ddet1"
2866		Masdevallia	pachyantha Rchb.f. (vel valde aff.)	"2864, 2865, 2866, 2867, 2868"			"J.M. Wubben, Hollandsche Rading"			4-Apr	1972	L.Y.Th. Westra	"hab1, 2x det1, 2x ddet1"
2867		Masdevallia	pachyantha Rchb.f. (vel valde aff.)	"2864, 2865, 2866, 2867, 2868"			"J.M. Wubben, Hollandsche Rading"			4-Apr	1972	L.Y.Th. Westra	"hab1, 2x det1, 2x ddet1"
2868		Masdevallia	pachyantha Rchb.f. (vel valde aff.)	"2864, 2865, 2866, 2867, 2868"			"J.M. Wubben, Hollandsche Rading"			4-Apr	1972	L.Y.Th. Westra	"hab1, 2x det1, 2x ddet1"
8436		Masdevallia	prodigiosa K”niger	"8436, 8437, 8438, 8439, 8440"			"J.M. Wubben, Hollandsche Rading"		labellum I/II	3-Jul	1981	L.Y.Th. Westra	"hab1, 2x det1, 2x ddet1"
8439		Masdevallia	prodigiosa K”niger	"8436, 8437, 8438, 8439, 8440"			"J.M. Wubben, Hollandsche Rading"		labellum I/II	3-Jul	1981	L.Y.Th. Westra	"hab1, 2x det1, 2x ddet1"
3746		Masdevallia	reichenbachiana Endres	"3746, 3747, 3749, 3749, 3750"			Cantonspark Baarn 11013			23/06	1973	L.Y.Th. Westra	"hab1, 3x det1, ddet1"
3749		Masdevallia	reichenbachiana Endres	"3746, 3747, 3749, 3749, 3750"			Cantonspark Baarn 11013			23/06	1973	L.Y.Th. Westra	"hab1, 3x det1, ddet1"
3749		Masdevallia	reichenbachiana Endres	"3746, 3747, 3749, 3749, 3750"			Cantonspark Baarn 11013			23/06	1973	L.Y.Th. Westra	"hab1, 3x det1, ddet1"
3721		Masdevallia	rolfeana Kraenzl.	"3721, 3722, 3723, 3724"			"J.M. Wubben, Hollandsche Rading"			6-Feb	1973	L.Y.Th. Westra	"hab1, 2x det1, ddet1"
3722		Masdevallia	rolfeana Kraenzl.	"3721, 3722, 3723, 3724"			"J.M. Wubben, Hollandsche Rading"			6-Feb	1973	L.Y.Th. Westra	"hab1, 2x det1, ddet1"
3723		Masdevallia	rolfeana Kraenzl.	"3721, 3722, 3723, 3724"			"J.M. Wubben, Hollandsche Rading"			6-Feb	1973	L.Y.Th. Westra	"hab1, 2x det1, ddet1"
8535		Masdevallia	scabrilinguis	"8535, 8536, 8537, 8538"			"J.M. Wubben, Hollandsche Rading"			18/04	1981	L.Y.Th. Westra	"hab1, det1, 2x ddet1"	niet geverifieerd
8536		Masdevallia	scabrilinguis	"8535, 8536, 8537, 8538"			"J.M. Wubben, Hollandsche Rading"			18/04	1981	L.Y.Th. Westra	"hab1, det1, 2x ddet1"	niet geverifieerd
2118		Masdevallia	schlimii Linden ex Lindl.	"2118, 2119, 2120"			Cantonspark Baarn 10568			25/11	1970	L.Y.Th. Westra	"hab1, det1, ddet1"
2119		Masdevallia	schlimii Linden ex Lindl.	"2118, 2119, 2120"			Cantonspark Baarn 10568			25/11	1970	L.Y.Th. Westra	"hab1, det1, ddet1"
2120		Masdevallia	schlimii Linden ex Lindl.	"2118, 2119, 2120"			Cantonspark Baarn 10568			25/11	1970	L.Y.Th. Westra	"hab1, det1, ddet1"
4069		Masdevallia	striatella Rchb.f.	"4069, 4070, 4071, 4072"			Cantonspark Baarn 11014			27/11	1973	L.Y.Th. Westra & A. Kuiper	"hab1, 3x det1"
4071		Masdevallia	striatella Rchb.f.	"4069, 4070, 4071, 4072"			Cantonspark Baarn 11014			27/11	1973	L.Y.Th. Westra & A. Kuiper	"hab1, 3x det1"
4072		Masdevallia	striatella Rchb.f.	"4069, 4070, 4071, 4072"			Cantonspark Baarn 11014			27/11	1973	L.Y.Th. Westra & A. Kuiper	"hab1, 3x det1"
5880		Masdevallia	striatella Rchb.f.	"5880, 5881, 5882, 5883"			"J.M. Wubben, Hollandsche Rading"			20/11	1976	L.Y.Th. Westra	"hab1, 2x det1, ddet1"
5881		Masdevallia	striatella Rchb.f.	"5880, 5881, 5882, 5883"			"J.M. Wubben, Hollandsche Rading"			20/11	1976	L.Y.Th. Westra	"hab1, 2x det1, ddet1"
5882		Masdevallia	striatella Rchb.f.	"5880, 5881, 5882, 5883"			"J.M. Wubben, Hollandsche Rading"			20/11	1976	L.Y.Th. Westra	"hab1, 2x det1, ddet1"
2288		Masdevallia	triangularis Lindl.	"2287, 2288, 2289"			Cantonspark Baarn 10570			30/03	1971	L.Y.Th. Westra	"hab1, det1, ddet1"
2289		Masdevallia	triangularis Lindl.	"2287, 2288, 2289"			Cantonspark Baarn 10570			30/03	1971	L.Y.Th. Westra	"hab1, det1, ddet1"
9436		Masdevallia	triangularis Lindl.	"9435, 9436, 9437, 9438, 9439"			"Van Gelder, Waalwijk"			29/05	1983	L.Y.Th. Westra	"hab1, 2x det1, 2x ddet1"
9438		Masdevallia	triangularis Lindl.	"9435, 9436, 9437, 9438, 9439"			"Van Gelder, Waalwijk"			29/05	1983	L.Y.Th. Westra	"hab1, 2x det1, 2x ddet1"
2351		Masdevallia	veitchiana Rchb.f.  'Prince de Galles'	"2351, 2352, 2353, 2354"			"J.M. Wubben, Hollandsche Rading"			25/04	1971	L.Y.Th. Westra	"hab1, 2x det1, ddet1"	niet geverifieerd: cv.
2352		Masdevallia	veitchiana Rchb.f.  'Prince de Galles'	"2351, 2352, 2353, 2354"			"J.M. Wubben, Hollandsche Rading"			25/04	1971	L.Y.Th. Westra	"hab1, 2x det1, ddet1"	niet geverifieerd: cv.
2353		Masdevallia	veitchiana Rchb.f.  'Prince de Galles'	"2351, 2352, 2353, 2354"			"J.M. Wubben, Hollandsche Rading"			25/04	1971	L.Y.Th. Westra	"hab1, 2x det1, ddet1"	niet geverifieerd: cv.
2354		Masdevallia	veitchiana Rchb.f.  'Prince de Galles'	"2351, 2352, 2353, 2354"			"J.M. Wubben, Hollandsche Rading"			25/04	1971	L.Y.Th. Westra	"hab1, 2x det1, ddet1"	niet geverifieerd: cv.
5924		Masdevallia	wageneriana Linden ex Lindl.	"5924, 5925, 5926, 5927, 5928"	[Venezuela]		"J.M. Wubben, Hollandsche Rading"	"[J.M. Wubben, 1976]"		12-Apr	1976	L.Y.Th. Westra	"hab1, 2x det1, 2x ddet1"
5925		Masdevallia	wageneriana Linden ex Lindl.	"5924, 5925, 5926, 5927, 5928"	[Venezuela]		"J.M. Wubben, Hollandsche Rading"	"[J.M. Wubben, 1976]"		12-Apr	1976	L.Y.Th. Westra	"hab1, 2x det1, 2x ddet1"
5926		Masdevallia	wageneriana Linden ex Lindl.	"5924, 5925, 5926, 5927, 5928"	[Venezuela]		"J.M. Wubben, Hollandsche Rading"	"[J.M. Wubben, 1976]"		12-Apr	1976	L.Y.Th. Westra	"hab1, 2x det1, 2x ddet1"
5927		Masdevallia	wageneriana Linden ex Lindl.	"5924, 5925, 5926, 5927, 5928"	[Venezuela]		"J.M. Wubben, Hollandsche Rading"	"[J.M. Wubben, 1976]"		12-Apr	1976	L.Y.Th. Westra	"hab1, 2x det1, 2x ddet1"
4950		Masdevallia	wendlandiana Rchb.f.	"4950, 4951, 4952, 4953"	[Venezuela]		"J.M. Wubben, Hollandsche Rading"			5-Oct	1975	L.Y.Th. Westra	"hab1, 3x det1"
4951		Masdevallia	wendlandiana Rchb.f.	"4950, 4951, 4952, 4953"	[Venezuela]		"J.M. Wubben, Hollandsche Rading"			5-Oct	1975	L.Y.Th. Westra	"hab1, 3x det1"
4952		Masdevallia	wendlandiana Rchb.f.	"4950, 4951, 4952, 4953"	[Venezuela]		"J.M. Wubben, Hollandsche Rading"			5-Oct	1975	L.Y.Th. Westra	"hab1, 3x det1"
7955		Masdevallia	xiphium	"7955, 7956, 7957, 7958"			"J.M. Wubben, Hollandsche Rading"			26/04	1980	L.Y.Th. Westra	"hab1, 3x det1"	niet geverifieerd
7957		Masdevallia	xiphium	"7955, 7956, 7957, 7958"			"J.M. Wubben, Hollandsche Rading"			26/04	1980	L.Y.Th. Westra	"hab1, 3x det1"	niet geverifieerd
4135		Octomeria		"4135, 4136, 4137"			"J.M. Wubben, Hollandsche Rading"			31/12	1973	L.Y.Th. Westra	"hab1, 2x det1"
4136		Octomeria		"4135, 4136, 4137"			"J.M. Wubben, Hollandsche Rading"			31/12	1973	L.Y.Th. Westra	"hab1, 2x det1"
6228		Octomeria		"6228, 6229, 6230"	[Brazilië]		"W. Ballizani, Naarden"			28/05	1977	L.Y.Th. Westra	"hab1, 2 det1"
6229		Octomeria		"6228, 6229, 6230"	[Brazilië]		"W. Ballizani, Naarden"			28/05	1977	L.Y.Th. Westra	"hab1, 2 det1"
6230		Octomeria		"6228, 6229, 6230"	[Brazilië]		"W. Ballizani, Naarden"			28/05	1977	L.Y.Th. Westra	"hab1, 2 det1"
6260		Octomeria		"6260, 6261, 6262"			"J.M. Wubben, Hollandsche Rading"			18/06	1977	L.Y.Th. Westra	"hab1, 2x det1"
6261		Octomeria		"6260, 6261, 6262"			"J.M. Wubben, Hollandsche Rading"			18/06	1977	L.Y.Th. Westra	"hab1, 2x det1"
7786		Octomeria		"7786, 7787, 7788"			"J.M. Wubben, Hollandsche Rading"			12-Aug	1979	L.Y.Th. Westra	"hab1, 2x det1"
7787		Octomeria		"7786, 7787, 7788"			"J.M. Wubben, Hollandsche Rading"			12-Aug	1979	L.Y.Th. Westra	"hab1, 2x det1"
9230		Octomeria		"9230, 9231, 9232"	[Suriname]		Botanische Tuinen Universiteit Utrecht 00ZW11623	[J.P. Schulz]		18/10	1982	L.Y.Th. Westra	"hab1, 2x det1"
9231		Octomeria		"9230, 9231, 9232"	[Suriname]		Botanische Tuinen Universiteit Utrecht 00ZW11623	[J.P. Schulz]		18/10	1982	L.Y.Th. Westra	"hab1, 2x det1"
4107		Octomeria	boliviensis Rolfe	"4107, 4108, 4109"	[Brazilië]		"J.M. Wubben, Hollandsche Rading"			22/12	1973	L.Y.Th. Westra	"hab1, 2x det1"
4109		Octomeria	boliviensis Rolfe	"4107, 4108, 4109"	[Brazilië]		"J.M. Wubben, Hollandsche Rading"			22/12	1973	L.Y.Th. Westra	"hab1, 2x det1"
1328		Octomeria	crassifolia Lindl.	1328			"M.A. de Rico Consuelo-Knoppe, Driebergen ? of J.M. Wubben, Hollandsche Rading"			15/10	1968	L.Y.Th. Westra	det1
2135		Octomeria	crassifolia Lindl.	"2135, 2136, 2137"			"J.M. Wubben, Hollandsche Rading"			12-May	1970	L.Y.Th. Westra	"hab1, 2x det1"
2136		Octomeria	crassifolia Lindl.	"2135, 2136, 2137"			"J.M. Wubben, Hollandsche Rading"			12-May	1970	L.Y.Th. Westra	"hab1, 2x det1"
2137		Octomeria	crassifolia Lindl.	"2135, 2136, 2137"			"J.M. Wubben, Hollandsche Rading"			12-May	1970	L.Y.Th. Westra	"hab1, 2x det1"
2170		Octomeria	crassifolia Lindl.	"2170, 2171"	[Brazilië]		Botanische Tuinen Universiteit Utrecht 00ZW10514			1-Sep	1971	L.Y.Th. Westra	"hab1, det1"
2171		Octomeria	crassifolia Lindl.	"2170, 2171"	[Brazilië]		Botanische Tuinen Universiteit Utrecht 00ZW10514			1-Sep	1971	L.Y.Th. Westra	"hab1, det1"
2829		Octomeria	deltoglossa Garay	"2829, 2830, 2831"			"J.M. Wubben, Hollandsche Rading"			3-Jan	1972	L.Y.Th. Westra & A. Kuiper	"hab1, 2x det1"
2830		Octomeria	deltoglossa Garay	"2829, 2830, 2831"			"J.M. Wubben, Hollandsche Rading"			3-Jan	1972	L.Y.Th. Westra & A. Kuiper	"hab1, 2x det1"
2831		Octomeria	deltoglossa Garay	"2829, 2830, 2831"			"J.M. Wubben, Hollandsche Rading"			3-Jan	1972	L.Y.Th. Westra & A. Kuiper	"hab1, 2x det1"
6930		Octomeria	deltoglossa Garay	"6930, 6931, 6932"			"J.M. Wubben, Hollandsche Rading"			13/05	1978	L.Y.Th. Westra	"hab1, 2x det1"
6931		Octomeria	deltoglossa Garay	"6930, 6931, 6932"			"J.M. Wubben, Hollandsche Rading"			13/05	1978	L.Y.Th. Westra	"hab1, 2x det1"
8156		Octomeria	deltoglossa Garay (vel aff.)	"8156, 8157, 8158"	[Guyana]		Botanische Tuinen Universiteit Utrecht 00ZW11729	"[P.J.M. Maas & J.H. Snuverink, 1979]"		9-Oct	1980	L.Y.Th. Westra	"hab1, 2x det1"
8157		Octomeria	deltoglossa Garay (vel aff.)	"8156, 8157, 8158"	[Guyana]		Botanische Tuinen Universiteit Utrecht 00ZW11729	"[P.J.M. Maas & J.H. Snuverink, 1979]"		9-Oct	1980	L.Y.Th. Westra	"hab1, 2x det1"
3118		Octomeria	grandiflora Lindl.	"3118, 3119, 3120"	[Suriname]		"J.M. Wubben, Hollandsche Rading"			15/07	1972	L.Y.Th. Westra	"hab1, 2x det1"
